url,comment,language,label
https://github.com/4teamwork/opengever.core/blob/d9cca2db87a4e53861ba85dbd786fce6ab84cf28/opengever/dossier/browser/report.py#L100-L101,"XXX: Also make pseudo-relative paths work
 (as sent by the new gever-ui)",Python,SATD
https://github.com/4teamwork/opengever.core/blob/7905ca4b516b59baba1d7046c0d6b675017ce1ef/opengever/document/tests/test_indexers.py#L547,"Relations do not get deleted, only broken",Python,SATD
https://github.com/adorsys/xs2a/blob/93fcd1379c9dda0c6a2467d20c66658db5c9874b/.gitlab-ci.yml#L151-L152,"# Commit message regex
#[0-9]+\ .+ || $commit_msg =~ ^(feat|fix|docs|doc|style|refactor|perf|test|chore|upgrade|ci|scan|release):\ [a-zA-Z0-9_-]{3}#[0-9]+\ .+ ]]; then",YAML,SATD
https://github.com/bcgov/jag-file-submission/blob/e94959853c6d9a4468bad961b27a8748288f97ae/.github/workflows/code-climate-coverage-aggregation.yml#L167,# TODO REMOVE AFTER SFTP IS IN MAVEN CENTRAL,YAML,SATD
https://github.com/bcgov/jag-file-submission/blob/bd56295a2085f5d0f69151f3b856d569439d6bbb/.github/workflows/code-climate-coverage-aggregation.yml#L99,# TODO REMOVE AFTER SFTP IS IN MAVEN CENTRAL,YAML,SATD
https://github.com/bugsnag/bugsnag-js/blob/941f31bb559575150b3ed6b940776c2c59a2a1a6/.buildkite/basic/react-native-android-full-pipeline.yml#L311-L313,"# current latest version (v7.40.1) of react-native-navigation's autolinking tool doesn't support RN 0.73+,
# causing a build failure - see https://github.com/wix/react-native-navigation/issues/7821
# TODO: Investigate and try to re-enable when we add tests for more recent React Native versions",YAML,SATD
https://github.com/bugsnag/bugsnag-js/blob/941f31bb559575150b3ed6b940776c2c59a2a1a6/.buildkite/basic/react-native-ios-full-pipeline.yml#L130-L155,"# Skipped due to build failures with react-native-navigation when new arch is enabled
# TODO: Investigate and try to re-enable when we add tests for more recent React Native versions
# - label: ':mac: Build react-native-navigation {{matrix}} test fixture ipa (New Arch)'
#   key: ""build-react-native-navigation-ios-fixture-new-arch""
#   timeout_in_minutes: 30
#   agents:
#     queue: ""macos-15""
#   env:
#     NODE_VERSION: ""18""
#     RN_VERSION: ""{{matrix}}""
#     RCT_NEW_ARCH_ENABLED: ""1""
#     BUILD_IOS: ""true""
#     XCODE_VERSION: ""15.3.0""
#     REACT_NATIVE_NAVIGATION: ""true""
#   artifact_paths:
#     - ""test/react-native/features/fixtures/generated/react-native-navigation/new-arch/**/output/reactnative.ipa""
#   commands:
#     - ""bundle install""
#     - ""node scripts/generate-react-native-fixture.js""
#   matrix:
#     - ""0.71""
#     - ""0.72""
#   retry:
#     automatic:
#       - exit_status: ""*""
#         limit: 1",YAML,SATD
https://github.com/bugsnag/bugsnag-js/blob/941f31bb559575150b3ed6b940776c2c59a2a1a6/.buildkite/basic/react-native-ios-full-pipeline.yml#L314-L316,"# current latest version (v7.40.1) of react-native-navigation's autolinking tool doesn't currently support RN 0.73+,
# causing a build failure - see https://github.com/wix/react-native-navigation/issues/7821
# TODO: Investigate and try to re-enable when we add tests for more recent React Native versions",YAML,SATD
https://github.com/bugsnag/bugsnag-js/blob/941f31bb559575150b3ed6b940776c2c59a2a1a6/.buildkite/basic/react-native-ios-full-pipeline.yml#L358-L396,"# Skipped due to build failures with react-native-navigation when new arch is enabled
# TODO: Investigate and try to re-enable when we add tests for more recent React Native versions
# - label: "":bitbar: :mac: react-native-navigation {{matrix}} iOS (New Arch) end-to-end tests""
#   depends_on: ""build-react-native-navigation-ios-fixture-new-arch""
#   timeout_in_minutes: 60
#   plugins:
#     artifacts#v1.9.0:
#       download: ""test/react-native/features/fixtures/generated/react-native-navigation/new-arch/{{matrix}}/output/reactnative.ipa""
#       upload: ./test/react-native/maze_output/**/*
#     docker-compose#v4.12.0:
#       pull: react-native-maze-runner
#       run: react-native-maze-runner
#       service-ports: true
#       command:
#         - --app=/app/features/fixtures/generated/react-native-navigation/new-arch/{{matrix}}/output/reactnative.ipa
#         - --farm=bb
#         - --device=IOS_15
#         - --fail-fast
#         - --no-tunnel
#         - --aws-public-ip
#         - features/react-native-navigation.feature
#     test-collector#v1.10.2:
#       files: ""reports/TEST-*.xml""
#       format: ""junit""
#       branch: ""^main|next$$""
#       api-token-env-name: ""REACT_NATIVE_BUILDKITE_ANALYTICS_TOKEN""
#   env:
#     RCT_NEW_ARCH_ENABLED: ""1""
#     RN_VERSION: ""{{matrix}}""
#     REACT_NATIVE_NAVIGATION: ""true""
#   retry:
#     manual:
#       permit_on_passed: true
#   concurrency: 25
#   concurrency_group: ""bitbar""
#   concurrency_method: eager
#   matrix:
#     - ""0.71""
#     - ""0.72""",YAML,SATD
https://github.com/bugsnag/bugsnag-js/blob/f37cf6c556b3bf9af6dca9503725f1fb20461f45/.github/workflows/codeql.yml#L37,# TODO: Removed all native code scanning for now (cpp & java),YAML,SATD
